;yearn-finance;ethereum;numeraire;curve-dao-token;fantom;uniswap;wrapped-bitcoin;celsius-degree-token;compound-governance-token;nexo;maker;aave;balancer;bancor
yearn-finance;1;0.886392187645853;0.458906434782795;0.42976945993221;0.664622697687947;0.536482436904753;-0.0582457249338778;0.567811271820585;0.768887204323928;0.571180374575022;0.779660795133084;0.806807857216678;0.295145244049282;0.0667466811522014
ethereum;0.886392187645853;1;0.308322864654561;0.310154201001904;0.720626898193436;0.524682367226899;-0.200528259732911;0.599678093223993;0.804681224366451;0.496031850998537;0.919360404130047;0.729111973351281;0.198643511888967;-0.0759697177124415
numeraire;0.458906434782795;0.308322864654561;1;0.703329519629558;0.493840680778621;0.653649149653474;0.524636850299358;0.296776146006315;0.545877460057581;0.775862049021777;0.358142660955058;0.405869629277913;0.613470143253121;0.414494968454742
curve-dao-token;0.42976945993221;0.310154201001904;0.703329519629558;1;0.649885942909951;0.703120664198168;0.676515893860601;-0.00611818532451677;0.576725767919011;0.800209260795171;0.262253857002914;0.575603406969066;0.808368971509122;0.681964577840256
fantom;0.664622697687947;0.720626898193436;0.493840680778621;0.649885942909951;1;0.80443002268603;0.403095471358598;0.132948237831367;0.889184771075167;0.74197147705611;0.664836432469145;0.777894285305176;0.689842374096641;0.506799027170561
uniswap;0.536482436904753;0.524682367226899;0.653649149653474;0.703120664198168;0.80443002268603;1;0.591516616992452;0.0129073522349006;0.841024518579767;0.905987828981451;0.587267395043518;0.688512539879972;0.809890143657376;0.620366178296287
wrapped-bitcoin;-0.0582457249338778;-0.200528259732911;0.524636850299358;0.676515893860601;0.403095471358598;0.591516616992452;1;-0.456634068909038;0.290753175221713;0.64854400711647;-0.192023431733068;0.178169929374021;0.876211387242187;0.939450043664403
celsius-degree-token;0.567811271820585;0.599678093223993;0.296776146006315;-0.00611818532451677;0.132948237831367;0.0129073522349006;-0.456634068909038;1;0.243582085876353;0.0436422365102076;0.50694924763089;0.235090799927972;-0.322066771734689;-0.473180647592049
compound-governance-token;0.768887204323928;0.804681224366451;0.545877460057581;0.576725767919011;0.889184771075167;0.841024518579767;0.290753175221713;0.243582085876353;1;0.817611051065224;0.826569996049564;0.808286086734576;0.634091576250906;0.364595858287757
nexo;0.571180374575022;0.496031850998537;0.775862049021777;0.800209260795171;0.74197147705611;0.905987828981451;0.64854400711647;0.0436422365102076;0.817611051065224;1;0.557517384075316;0.620624221423079;0.855079831542866;0.626762112246495
maker;0.779660795133084;0.919360404130047;0.358142660955058;0.262253857002914;0.664836432469145;0.587267395043518;-0.192023431733068;0.50694924763089;0.826569996049564;0.557517384075316;1;0.651112505052976;0.204679498497552;-0.131144796778057
aave;0.806807857216678;0.729111973351281;0.405869629277913;0.575603406969066;0.777894285305176;0.688512539879972;0.178169929374021;0.235090799927972;0.808286086734576;0.620624221423079;0.651112505052976;1;0.498492611752887;0.334673057880206
balancer;0.295145244049282;0.198643511888967;0.613470143253121;0.808368971509122;0.689842374096641;0.809890143657376;0.876211387242187;-0.322066771734689;0.634091576250906;0.855079831542866;0.204679498497552;0.498492611752887;1;0.899408056812412
bancor;0.0667466811522014;-0.0759697177124415;0.414494968454742;0.681964577840256;0.506799027170561;0.620366178296287;0.939450043664403;-0.473180647592049;0.364595858287757;0.626762112246495;-0.131144796778057;0.334673057880206;0.899408056812412;1
