"","yearn-finance","ethereum","numeraire","curve-dao-token","fantom","uniswap","wrapped-bitcoin","celsius-degree-token","compound-governance-token","nexo","maker","aave","balancer","bancor"
"yearn-finance",1,0.941964504521824,0.830497335732097,0.855014932116605,0.845806459733491,0.842476055161219,0.752255502869151,0.547450960275614,0.814842714844093,0.859443306689104,0.886553681128113,0.922175176771351,0.851087225873495,0.896139460331226
"ethereum",0.941964504521824,1,0.850021360022433,0.898711007707668,0.903488704717363,0.876087063048924,0.829808818390932,0.575998560817212,0.853063218036645,0.89831711590107,0.936092877416343,0.885740858513456,0.895266284616812,0.933777262287806
"numeraire",0.830497335732097,0.850021360022433,1,0.899958815362658,0.906572281487364,0.958428065730537,0.899997243052519,0.438395429678041,0.860084302991043,0.943938809983688,0.934779414105299,0.88678225245395,0.928604433884485,0.947992849687675
"curve-dao-token",0.855014932116605,0.898711007707668,0.899958815362658,1,0.924740086915099,0.932231207881937,0.897441505846726,0.476904943280468,0.862891873002366,0.944652026541413,0.908469612467656,0.87751319585943,0.919087186938852,0.934239346706536
"fantom",0.845806459733491,0.903488704717363,0.906572281487364,0.924740086915099,1,0.936947767892919,0.945926347050127,0.331415676252859,0.915531084538106,0.959954688165263,0.940281185048922,0.861605931916736,0.966865404029174,0.970876741616097
"uniswap",0.842476055161219,0.876087063048924,0.958428065730537,0.932231207881937,0.936947767892919,1,0.949495253376755,0.407428510106579,0.90895164796253,0.979740897030464,0.959216261174816,0.894628861527745,0.970723702563123,0.973810451750219
"wrapped-bitcoin",0.752255502869151,0.829808818390932,0.899997243052519,0.897441505846726,0.945926347050127,0.949495253376755,1,0.261874510419179,0.896703128270475,0.96247850037703,0.913307596373699,0.789661567784184,0.965163622773246,0.949375484526618
"celsius-degree-token",0.547450960275614,0.575998560817212,0.438395429678041,0.476904943280468,0.331415676252859,0.407428510106579,0.261874510419179,1,0.258963404884019,0.35697114074615,0.479982589605648,0.493024720376392,0.319398375626088,0.422302727626653
"compound-governance-token",0.814842714844093,0.853063218036645,0.860084302991043,0.862891873002366,0.915531084538106,0.90895164796253,0.896703128270475,0.258963404884019,1,0.930994368551655,0.911218793559937,0.885864529745703,0.954610005947747,0.915716383686518
"nexo",0.859443306689104,0.89831711590107,0.943938809983688,0.944652026541413,0.959954688165263,0.979740897030464,0.96247850037703,0.35697114074615,0.930994368551655,1,0.959439688782721,0.893591571785204,0.986027442571027,0.984314917551067
"maker",0.886553681128113,0.936092877416343,0.934779414105299,0.908469612467656,0.940281185048922,0.959216261174816,0.913307596373699,0.479982589605648,0.911218793559937,0.959439688782721,1,0.917218537560404,0.962227996633503,0.975342364255654
"aave",0.922175176771351,0.885740858513456,0.88678225245395,0.87751319585943,0.861605931916736,0.894628861527745,0.789661567784184,0.493024720376392,0.885864529745703,0.893591571785204,0.917218537560404,1,0.882880190648645,0.906455893731221
"balancer",0.851087225873495,0.895266284616812,0.928604433884485,0.919087186938852,0.966865404029174,0.970723702563123,0.965163622773246,0.319398375626088,0.954610005947747,0.986027442571027,0.962227996633503,0.882880190648645,1,0.984360220409611
"bancor",0.896139460331226,0.933777262287806,0.947992849687675,0.934239346706536,0.970876741616097,0.973810451750219,0.949375484526618,0.422302727626653,0.915716383686518,0.984314917551067,0.975342364255654,0.906455893731221,0.984360220409611,1
